ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
A0, no_ops, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 11, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 11, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 12, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 12, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 13, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 13, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 14, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 14, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 15, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 15, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
